"","species","ctg","orthogroup","gene","gene_orientation","start_gene","end_gene","value"
"57853","AGAMB","X","EOG0917047N","AGAP000181","+",3004280,3005691,NA
"57854","AGAMB","X","EOG0917065Q","AGAP000182","-",3006724,3008351,NA
"57855","AGAMB","X","EOG091702I4","AGAP000184","+",3012930,3021325,NA
"57856","AGAMB","X","EOG091701UA","AGAP000185","-",3032330,3041573,NA
"57857","AGAMB","X","EOG091708E9","AGAP000186","-",3059627,3060339,NA
"57858","AGAMB","X","EOG091701BO","AGAP000187","+",3062205,3067403,NA
"57859","AGAMB","X","EOG091705O9","AGAP000188","+",3076390,3080156,NA
"57860","AGAMB","X","EOG0917011F","AGAP000189","+",3085239,3090293,NA
"57861","AGAMB","X","EOG091708YL","AGAP000190","+",3120259,3158051,NA
"57862","AGAMB","X","EOG091701D9","AGAP000193","+",3181145,3184530,NA
"57863","AGAMB","X","EOG091700IF","AGAP000195","-",3202676,3209237,NA
"57864","AGAMB","X","EOG0917029F","AGAP000196","+",3211890,3214319,NA
"57865","AGAMB","X","EOG091703HR","AGAP000199","-",3260150,3264030,NA
"57866","AGAMB","X","EOG0917033K","AGAP000200","-",3266605,3275243,NA
"57867","AGAMB","X","EOG0917089L","AGAP000201","-",3279676,3280497,NA
"57868","AGAMB","X","EOG091701JC","AGAP000203","-",3364642,3371951,NA
"57869","AGAMB","X","EOG09170A8S","AGAP000204","+",3375926,3376759,NA
"57870","AGAMB","X","EOG091700G2","AGAP000205","+",3395897,3424545,NA
"57871","AGAMB","X","EOG09170536","AGAP000207","-",3430209,3452324,NA
"57872","AGAMB","X","EOG09170183","AGAP000209","+",3463792,3475668,NA
"57873","AGAMB","X","EOG091703BI","AGAP000210","+",3477214,3479109,NA
"57874","AGAMB","X","EOG091700T3","AGAP000211","+",3480557,3482502,NA
"57875","AGAMB","X","EOG091705HU","AGAP000213","+",3485522,3486679,NA
"57876","AGAMB","X","EOG091701YD","AGAP000214","-",3484493,3493483,NA
"57877","AGAMB","X","EOG091706KQ","AGAP000215","+",3572299,3581714,NA
"57878","AGAMB","X","EOG091703FO","AGAP000216","+",3612278,3613944,NA
"57879","AGAMB","X","EOG091701MG","AGAP000217","-",3631408,3638938,NA
"57880","AGAMB","X","EOG091701V7","AGAP000218","+",4002087,4006005,NA
"57881","AGAMB","X","EOG091703C9","AGAP000219","+",4082194,4088106,NA
"57882","AGAMB","X","EOG091702V5","AGAP000220","-",4089729,4094062,NA
"57883","AGAMB","X","EOG091702ST","AGAP000225","-",4180964,4238447,NA
"57884","AGAMB","X","EOG091705MX","AGAP000226","-",4258020,4259409,NA
"57885","AGAMB","X","EOG091702IB","AGAP000228","-",4270081,4327087,NA
"57886","AGAMB","X","EOG091705VL","AGAP000230","+",4332624,4333934,NA
"57887","AGAMB","X","EOG0917013L","AGAP000232","-",4345318,4352646,NA
"57888","AGAMB","X","EOG091700ZU","AGAP000233","-",4379330,4384049,NA
"57889","AGAMB","X","EOG0917067C","AGAP000234","-",4388978,4406935,NA
"57890","AGAMB","X","EOG09170A3P","AGAP000235","+",4425246,4428424,NA
"57891","AGAMB","X","EOG091702F1","AGAP000236","+",4442941,4458677,NA
"57892","AGAMB","X","EOG091708F4","AGAP000237","-",4469805,4475405,NA
"57893","AGAMB","X","EOG091703DU","AGAP000238","-",4494383,4496105,NA
"57894","AGAMB","X","EOG091703SV","AGAP000239","-",4504112,4505751,NA
"57895","AGAMB","X","EOG0917053H","AGAP000240","+",4508053,4509430,NA
"57896","AGAMB","X","EOG0917056P","AGAP000241","-",4510670,4519174,NA
"57897","AGAMB","X","EOG091707WK","AGAP000242","+",4522058,4522934,NA
"57898","AGAMB","X","EOG0917022P","AGAP000243","-",4524503,4528482,NA
"57899","AGAMB","X","EOG0917043Q","AGAP000244","+",4551074,4552449,NA
"57900","AGAMB","X","EOG091705I6","AGAP000246","+",4567668,4569131,NA
"57901","AGAMB","X","EOG091703IW","AGAP000248","+",4572839,4574704,NA
"57902","AGAMB","X","EOG0917027N","AGAP000249","-",4593161,4595917,NA
"57903","AGAMB","X","EOG091705K3","AGAP000250","+",4598361,4599584,NA
"57904","AGAMB","X","EOG0917029R","AGAP000251","-",4601136,4604212,NA
"57905","AGAMB","X","EOG091701Q9","AGAP000252","+",4607157,4609601,NA
"57906","AGAMB","X","EOG0917065N","AGAP000253","-",4610206,4611233,NA
"57907","AGAMB","X","EOG091704FU","AGAP000254","+",4773428,4792432,NA
"57908","AGAMB","X","EOG091701IG","AGAP000255","-",4818589,4862785,NA
"57909","AGAMB","X","EOG091700OY","AGAP000256","-",4900441,4905540,NA
"57910","AGAMB","X","EOG091704HA","AGAP000258","-",4908861,4910385,NA
"57911","AGAMB","X","EOG09170BUS","AGAP000260","+",4916295,4917649,NA
"57912","AGAMB","X","EOG091704PJ","AGAP000261","+",4919664,4921419,NA
"57913","AGAMB","X","EOG091702B2","AGAP000262","+",4925268,4930616,NA
"57914","AGAMB","X","EOG0917057V","AGAP000266","-",4953414,4954737,NA
"57915","AGAMB","X","EOG091706EK","AGAP000267","+",4956300,4957413,NA
"57916","AGAMB","X","EOG091706U7","AGAP000268","-",4962167,4963111,NA
"57917","AGAMB","X","EOG0917030I","AGAP000269","-",4978232,4981231,NA
"57918","AGAMB","X","EOG0917068K","AGAP000270","+",4983591,4984862,NA
"57919","AGAMB","X","EOG091700XB","AGAP000271","+",4987361,4991997,NA
"57920","AGAMB","X","EOG091708U6","AGAP000272","+",4994678,4995298,NA
"57921","AGAMB","X","EOG0917008G","AGAP000273","+",4997982,5005742,NA
"57922","AGAMB","X","EOG0917090T","AGAP000274","-",5006238,5006775,NA
"57923","AGAMB","X","EOG091706B5","AGAP000277","-",5028370,5031736,NA
"57924","AGAMB","X","EOG091709Y0","AGAP000278","-",5035500,5035999,NA
"57925","AGAMB","X","EOG091709Y0","AGAP000279","-",5036744,5037431,NA
"57926","AGAMB","X","EOG0917024B","AGAP000280","-",5040487,5042835,NA
"57927","AGAMB","X","EOG0917078O","AGAP000281","-",5046312,5068835,NA
"57928","AGAMB","X","EOG091704BO","AGAP000283","+",5109872,5111658,NA
"57929","AGAMB","X","EOG09170448","AGAP000284","-",5112278,5114747,NA
"57930","AGAMB","X","EOG0917050Q","AGAP000285","-",5115540,5118488,NA
"57931","AGAMB","X","EOG09170458","AGAP000286","+",5120385,5122405,NA
"57932","AGAMB","X","EOG091704NH","AGAP000287","-",5122419,5123479,NA
"57933","AGAMB","X","EOG091705DS","AGAP000288","-",5125072,5126204,NA
"57934","AGAMB","X","EOG091705T0","AGAP000289","-",5127465,5128525,NA
"57935","AGAMB","X","EOG091703FR","AGAP000290","-",5130426,5139356,NA
"57936","AGAMB","X","EOG091704K4","AGAP000291","+",5134178,5135640,NA
"57937","AGAMB","X","EOG091702UN","AGAP000292","-",5149107,5160081,NA
"57938","AGAMB","X","EOG091703HX","AGAP000293","+",5199638,5204600,NA
"57939","AGAMB","X","EOG09170648","AGAP000294","-",5276738,5278291,NA
"57940","AGAMB","X","EOG09170ACG","AGAP000295","+",5299820,5307551,NA
"57941","AGAMB","X","EOG091709HL","AGAP000297","+",5318993,5319705,NA
"57942","AGAMB","X","EOG09170034","AGAP000300","-",5338077,5360330,NA
"57943","AGAMB","X","EOG091701CJ","AGAP000301","+",5346135,5352888,NA
"57944","AGAMB","X","EOG0917015P","AGAP000303","-",5365577,5371383,NA
"57945","AGAMB","X","EOG091706NL","AGAP000304","+",5403237,5404439,NA
"57946","AGAMB","X","EOG0917066P","AGAP000305","+",5410362,5410931,NA
"57947","AGAMB","X","EOG09170ARN","AGAP000306","+",5417659,5421738,NA
"57948","AGAMB","X","EOG091700V0","AGAP000307","-",5433339,5444836,NA
"57949","AGAMB","X","EOG0917075K","AGAP000308","+",5448455,5449323,NA
"57950","AGAMB","X","EOG091701HJ","AGAP000309","-",5452491,5458462,NA
"57951","AGAMB","X","EOG091705EC","AGAP000310","+",5468373,5469640,NA
"57952","AGAMB","X","EOG091704W6","AGAP000311","+",5474544,5478871,NA
"57953","AGAMB","X","EOG0917072N","AGAP000312","+",5489431,5491324,NA
"57954","AGAMB","X","EOG091703NL","AGAP000313","-",5496173,5503551,NA
"57955","AGAMB","X","EOG091700DH","AGAP000314","-",5511709,5522791,NA
"57956","AGAMB","X","EOG09170573","AGAP000315","+",10090615,10092990,NA
"57957","AGAMB","X","EOG09170836","AGAP000316","+",5543786,5544442,NA
"57958","AGAMB","X","EOG091707KM","AGAP000317","-",5610066,5616769,NA
"57959","AGAMB","X","EOG0917026E","AGAP000320","+",5680966,5695273,NA
"57960","AGAMB","X","EOG091702F6","AGAP000321","+",5706423,5711189,NA
"57961","AGAMB","X","EOG09170776","AGAP000322","+",5719913,5720938,NA
"57962","AGAMB","X","EOG091700EA","AGAP000323","-",5721025,5732100,0.16
"57963","AGAMB","X","EOG091707ZE","AGAP000324","+",5733436,5734476,NA
"57964","AGAMB","X","EOG0917033H","AGAP000325","+",5743807,5746073,NA
"57965","AGAMB","X","EOG0917063F","AGAP000326","+",5748669,5749661,NA
"57966","AGAMB","X","EOG091703XK","AGAP000327","-",5752143,5754950,NA
"57967","AGAMB","X","EOG091706MV","AGAP000328","-",5759812,5762201,NA
"57968","AGAMB","X","EOG091702ES","AGAP000329","+",5774401,5780662,NA
"57969","AGAMB","X","EOG091706JZ","AGAP000330","-",5784283,5786288,NA
"57970","AGAMB","X","EOG091700AF","AGAP000332","-",5847055,5855368,NA
"57971","AGAMB","X","EOG091705SV","AGAP000334","-",5859272,5862330,NA
"57972","AGAMB","X","EOG091704W5","AGAP000336","-",5869340,5873103,NA
"57973","AGAMB","X","EOG091700UR","AGAP000337","+",5877657,5881530,NA
"57974","AGAMB","X","EOG091708ZG","AGAP000338","+",5884689,5885346,NA
"57975","AGAMB","X","EOG09170725","AGAP000339","-",5886051,5887397,NA
"57976","AGAMB","X","EOG0917044Q","AGAP000340","-",5890629,5892255,NA
"57977","AGAMB","X","EOG091705B3","AGAP000342","+",5900092,5902033,NA
"57978","AGAMB","X","EOG0917018M","AGAP000343","+",5905936,5910462,NA
"57979","AGAMB","X","EOG091708C4","AGAP000344","+",5962513,5967509,NA
"57980","AGAMB","X","EOG09170A4J","AGAP000347","-",6136542,6139027,NA
"57981","AGAMB","X","EOG091700VD","AGAP000348","-",6141806,6154000,NA
"57982","AGAMB","X","EOG091706EG","AGAP000349","+",6175124,6176862,NA
"57983","AGAMB","X","EOG091705OH","AGAP000351","-",6188298,6277170,NA
"57984","AGAMB","X","EOG09170AQ5","AGAP000352","-",6221274,6222944,NA
"57985","AGAMB","X","EOG091709OD","AGAP000354","+",6313659,6317688,NA
"57986","AGAMB","X","EOG091704E4","AGAP000355","-",6328078,6330848,NA
"57987","AGAMB","X","EOG091705Y8","AGAP000356","+",6349294,6350296,NA
"57988","AGAMB","X","EOG09170BZJ","AGAP000358","+",6354685,6355132,NA
"57989","AGAMB","X","EOG0917033F","AGAP000359","-",6358270,6368050,NA
"57990","AGAMB","X","EOG091700JF","AGAP000360","+",6486709,6500088,NA
"57991","AGAMB","X","EOG09170165","AGAP000361","+",6545138,6548184,NA
"57992","AGAMB","X","EOG091702D0","AGAP000364","-",6757013,6759633,NA
"57993","AGAMB","X","EOG091702O9","AGAP000365","-",6766782,6768196,NA
"57994","AGAMB","X","EOG091708W9","AGAP000366","-",6771370,6771729,NA
"57995","AGAMB","X","EOG0917001Y","AGAP000368","+",6777394,6802684,NA
"57996","AGAMB","X","EOG091703X7","AGAP000369","-",6791093,6793207,NA
"57997","AGAMB","X","EOG0917030E","AGAP000372","-",6807972,6813218,NA
"57998","AGAMB","X","EOG0917091Y","AGAP000375","+",6864496,6865545,NA
"57999","AGAMB","X","EOG091702S9","AGAP000376","+",6869878,6872834,NA
"58000","AGAMB","X","EOG0917033Z","AGAP000377","-",6873929,6876076,NA
"58001","AGAMB","X","EOG091704SJ","AGAP000378","+",6881545,6891611,NA
"58002","AGAMB","X","EOG091704EP","AGAP000379","+",6897856,6899358,NA
"58003","AGAMB","X","EOG091702AS","AGAP000380","-",6905029,6920913,NA
"58004","AGAMB","X","EOG09170C23","AGAP000382","+",6943073,6944078,NA
"58005","AGAMB","X","EOG091705ZW","AGAP000383","-",6974259,7037977,NA
"58006","AGAMB","X","EOG091700HF","AGAP000384","-",7063083,7070395,NA
"58007","AGAMB","X","EOG091701UK","AGAP000385","+",7075409,7082684,NA
"58008","AGAMB","X","EOG091701Z6","AGAP000386","-",7083142,7096399,NA
"58009","AGAMB","X","EOG091703I6","AGAP000388","+",7118528,7120376,NA
"58010","AGAMB","X","EOG09170064","AGAP000389","-",7124538,7145292,NA
"58011","AGAMB","X","EOG091702PM","AGAP000391","-",7185243,7188050,NA
"58012","AGAMB","X","EOG0917087G","AGAP000392","+",7190704,7191389,NA
"58013","AGAMB","X","EOG091706KB","AGAP000393","+",7194615,7195860,NA
"58014","AGAMB","X","EOG091704Y7","AGAP000394","+",7199604,7201387,NA
"58015","AGAMB","X","EOG091707JE","AGAP000396","+",7240025,7240911,NA
"58016","AGAMB","X","EOG0917024X","AGAP000397","-",7243064,7245602,NA
"58017","AGAMB","X","EOG0917061N","AGAP000398","+",7247165,7248423,NA
"58018","AGAMB","X","EOG091709F8","AGAP000399","-",7252741,7269894,NA
"58019","AGAMB","X","EOG0917060Y","AGAP000400","+",7273127,7275829,NA
"58020","AGAMB","X","EOG091706O8","AGAP000401","-",7276546,7277421,NA
"58021","AGAMB","X","EOG091706Y0","AGAP000402","-",7279056,7279974,NA
"58022","AGAMB","X","EOG091704YA","AGAP000403","-",7288463,7291716,NA
"58023","AGAMB","X","EOG091702HU","AGAP000405","-",7299356,7303497,NA
"58024","AGAMB","X","EOG091700JZ","AGAP000406","+",7310660,7318863,NA
"58025","AGAMB","X","EOG091702P1","AGAP000407","-",7326460,7331183,NA
"58026","AGAMB","X","EOG091706NF","AGAP000408","+",7334403,7335498,NA
"58027","AGAMB","X","EOG091702Z2","AGAP000411","-",7378463,7382141,NA
"58028","AGAMB","X","EOG091703JI","AGAP000412","+",7386318,7391029,NA
"58029","AGAMB","X","EOG091700VY","AGAP000413","-",7395054,7400773,NA
"58030","AGAMB","X","EOG091705VZ","AGAP000414","+",7403129,7404268,NA
"58031","AGAMB","X","EOG09170A00","AGAP000415","-",7404437,7405054,NA
"58032","AGAMB","X","EOG091706BK","AGAP000416","-",7437094,7438072,NA
"58033","AGAMB","X","EOG091703EO","AGAP000420","+",7545200,7550460,NA
"58034","AGAMB","X","EOG09170764","AGAP000421","-",7554571,7560998,NA
"58035","AGAMB","X","EOG09170ASD","AGAP000425","-",7614019,7615753,NA
"58036","AGAMB","X","EOG091708XO","AGAP000426","-",7618255,7618858,NA
"58037","AGAMB","X","EOG0917006X","AGAP000427","-",7623873,7631089,NA
"58038","AGAMB","X","EOG091703YU","AGAP000428","-",7633543,7637519,NA
"58039","AGAMB","X","EOG091701E7","AGAP000429","+",7638335,7644733,NA
"58040","AGAMB","X","EOG091702OH","AGAP000430","-",7646486,7649633,NA
"58041","AGAMB","X","EOG091705DR","AGAP000431","+",7658182,7671258,NA
"58042","AGAMB","X","EOG091707LK","AGAP000433","-",7695274,7697821,NA
"58043","AGAMB","X","EOG091701US","AGAP000434","-",7701984,7705931,NA
"58044","AGAMB","X","EOG091702WB","AGAP000436","+",7711432,7717294,NA
"58045","AGAMB","X","EOG091708QM","AGAP000437","-",7721791,7723233,NA
"58046","AGAMB","X","EOG09170483","AGAP000438","+",7764531,7765931,NA
"58047","AGAMB","X","EOG0917023V","AGAP000440","+",7773099,7779784,NA
"58048","AGAMB","X","EOG09170A1N","AGAP000441","-",7784541,7786949,NA
"58049","AGAMB","X","EOG09170AH1","AGAP000442","-",7792761,7794122,NA
"58050","AGAMB","X","EOG0917002D","AGAP000443","-",7797031,7815108,NA
"58051","AGAMB","X","EOG0917051O","AGAP000444","-",7822875,7823977,NA
"58052","AGAMB","X","EOG0917052X","AGAP000445","-",7834240,7835573,NA
"58053","AGAMB","X","EOG091701T7","AGAP000446","+",7840900,7843485,NA
"58054","AGAMB","X","EOG091702N4","AGAP000447","+",7850066,7854150,NA
