"","species","ctg","orthogroup","gene","gene_orientation","start_gene","end_gene","value"
"58055","AGAMB","X","EOG091706AC","AGAP000448","-",7854205,7855196,NA
"58056","AGAMB","X","EOG091702XG","AGAP000454","+",7936104,7938841,NA
"58057","AGAMB","X","EOG09170782","AGAP000456","+",7924267,7926877,NA
"58058","AGAMB","X","EOG091707JF","AGAP000457","-",7931088,7934574,NA
"58059","AGAMB","X","EOG091702SQ","AGAP000458","+",7945988,7947791,NA
"58060","AGAMB","X","EOG0917054B","AGAP000460","+",7957856,7962564,NA
"58061","AGAMB","X","EOG0917005A","AGAP000461","-",7976853,8003775,NA
"58062","AGAMB","X","EOG091707MP","AGAP000462","-",8017977,8020420,NA
"58063","AGAMB","X","EOG09170184","AGAP000463","+",8024933,8035855,NA
"58064","AGAMB","X","EOG091702B9","AGAP000466","+",8049063,8054137,NA
"58065","AGAMB","X","EOG091707WM","AGAP000469","-",8098468,8102477,NA
"58066","AGAMB","X","EOG0917078Z","AGAP000470","+",8105454,8109526,NA
"58067","AGAMB","X","EOG091701G7","AGAP000472","-",8124550,8133009,NA
"58068","AGAMB","X","EOG091704F2","AGAP000473","-",8188246,8189818,NA
"58069","AGAMB","X","EOG091703SC","AGAP000474","+",8221968,8225382,0.01
"58070","AGAMB","X","EOG091702JS","AGAP000476","-",8271710,8275820,NA
"58071","AGAMB","X","EOG091705OD","AGAP000478","-",8423228,8424268,NA
"58072","AGAMB","X","EOG091704WO","AGAP000479","+",8426440,8427705,NA
"58073","AGAMB","X","EOG0917058F","AGAP000480","-",8427945,8429151,NA
"58074","AGAMB","X","EOG091701RN","AGAP000481","+",8432930,8435853,NA
"58075","AGAMB","X","EOG091709G0","AGAP000482","-",8438721,8439428,NA
"58076","AGAMB","X","EOG091700TW","AGAP000483","+",8442607,8451330,NA
"58077","AGAMB","X","EOG0917066G","AGAP000484","-",8487286,8509533,NA
"58078","AGAMB","X","EOG0917079H","AGAP000485","+",8537815,8538555,NA
"58079","AGAMB","X","EOG091708Y1","AGAP000488","-",8579576,8602534,NA
"58080","AGAMB","X","EOG091700Y0","AGAP000489","-",8635241,8652253,NA
"58081","AGAMB","X","EOG09170AJ0","AGAP000491","-",8681663,8681995,NA
"58082","AGAMB","X","EOG09170244","AGAP000492","+",8689135,8692322,NA
"58083","AGAMB","X","EOG09170AYP","AGAP000493","-",8703689,8704125,NA
"58084","AGAMB","X","EOG09170AYP","AGAP000494","+",8717102,8717644,NA
"58085","AGAMB","X","EOG0917099V","AGAP000495","-",8753416,8754249,NA
"58086","AGAMB","X","EOG091708V6","AGAP000496","+",8755111,8755803,NA
"58087","AGAMB","X","EOG09170AFG","AGAP000497","-",8757702,8758194,NA
"58088","AGAMB","X","EOG091709ST","AGAP000498","+",8762493,8764262,NA
"58089","AGAMB","X","EOG091705G5","AGAP000499","-",8772048,8777600,NA
"58090","AGAMB","X","EOG0917033E","AGAP000501","+",8801563,8804794,NA
"58091","AGAMB","X","EOG091701EB","AGAP000502","+",8827758,8847273,NA
"58092","AGAMB","X","EOG091701I8","AGAP000504","-",8858958,8889428,NA
"58093","AGAMB","X","EOG0917022V","AGAP000506","+",8953210,8957442,NA
"58094","AGAMB","X","EOG091706G4","AGAP000507","+",8960404,8961760,NA
"58095","AGAMB","X","EOG091707ND","AGAP000508","-",8964702,8965358,NA
"58096","AGAMB","X","EOG091705A2","AGAP000509","+",8973099,8975041,NA
"58097","AGAMB","X","EOG0917040L","AGAP000512","+",9067175,9086029,NA
"58098","AGAMB","X","EOG09170504","AGAP000513","+",9095913,9096723,NA
"58099","AGAMB","X","EOG0917081Q","AGAP000514","+",9099452,9107715,NA
"58100","AGAMB","X","EOG091705YO","AGAP000515","-",9111183,9111574,NA
"58101","AGAMB","X","EOG091705YO","AGAP000516","-",9114858,9115249,NA
"58102","AGAMB","X","EOG091700ZF","AGAP000519","+",9215504,9266532,NA
"58103","AGAMB","X","EOG091700YY","AGAP000520","+",9291162,9297115,NA
"58104","AGAMB","X","EOG091702UZ","AGAP000521","-",9297279,9311482,NA
"58105","AGAMB","X","EOG091706X9","AGAP000522","-",9410886,9414538,NA
"58106","AGAMB","X","EOG09170AMJ","AGAP000523","+",9455267,9456114,NA
"58107","AGAMB","X","EOG0917062P","AGAP000526","+",9460914,9469141,NA
"58108","AGAMB","X","EOG091702QG","AGAP000528","+",9476781,9479515,NA
"58109","AGAMB","X","EOG091701KL","AGAP000529","-",9483605,9487886,NA
"58110","AGAMB","X","EOG091707J1","AGAP000530","+",9490005,9491076,NA
"58111","AGAMB","X","EOG091707GD","AGAP000531","+",9491196,9491909,NA
"58112","AGAMB","X","EOG091700W1","AGAP000532","+",9497930,9504469,NA
"58113","AGAMB","X","EOG091703LO","AGAP000533","-",9543583,9548481,NA
"58114","AGAMB","X","EOG091703EY","AGAP000534","+",9555424,9565114,NA
